RowId,customerID,gender,SeniorCitizen,Partner,Supplementary Line,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9084-OAYKLTwo yearMailed check,9084-OAYKL,male,0,No,,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,n,Mailed check,20.8,1212.25,No
8595-SIZNCOne yearBank transfer (automatic),8595-SIZNC,f,1,Yes,,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,n,Bank transfer (automatic),25.6,548.8,No
4929-ROARTMonth-to-monthMailed check,4929-ROART,male,0,No,,No,18,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,n,Mailed check,56.25,969.85,No
7339-POGZNMonth-to-monthElectronic check,7339-POGZN,Female,0,No,,No,4,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,n,Electronic check,50.7,214.55,No
4338-EYCERMonth-to-monthBank transfer (automatic),4338-EYCER,male,0,Yes,,No,21,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,n,Bank transfer (automatic),54.6,1125.2,No
9036-CSKBWOne yearBank transfer (automatic),9036-CSKBW,f,0,No,,No,51,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,n,Bank transfer (automatic),107.45,5680.9,No
9470-YFUYIOne yearBank transfer (automatic),9470-YFUYI,male,1,Yes,,No,71,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),71,5012.1,No
9101-BWFSSOne yearElectronic check,9101-BWFSS,f,0,Yes,,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,n,Electronic check,108.55,5610.7,Yes
0722-TROQRMonth-to-monthElectronic check,0722-TROQR,Female,1,No,,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,321.75,Yes
1928-BXYIVMonth-to-monthElectronic check,1928-BXYIV,Male,0,No,,No,1,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,n,Electronic check,61.15,61.15,No
5641-DMBFJTwo yearElectronic check,5641-DMBFJ,Female,0,Yes,,No,58,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,84.3,4916.4,No
0253-ZTEOBTwo yearElectronic check,0253-ZTEOB,f,0,Yes,,Yes,48,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,n,Electronic check,79.65,3870.3,No
1193-RTSLKMonth-to-monthCredit card (automatic),1193-RTSLK,Female,0,No,,No,38,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),83.9,3233.6,Yes
3703-KBKZPMonth-to-monthBank transfer (automatic),3703-KBKZP,male,1,No,,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.45,1261.35,No
4486-EFAEBMonth-to-monthElectronic check,4486-EFAEB,male,0,No,,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.4,251.65,No
1237-WIYYZMonth-to-monthMailed check,1237-WIYYZ,Female,0,No,,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.55,389.25,No
9593-CVZKRTwo yearMailed check,9593-CVZKR,Female,0,Yes,,Yes,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.45,1385.85,No
9699-UBQFSMonth-to-monthElectronic check,9699-UBQFS,Female,1,Yes,,No,43,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.5,4156.8,No
1574-DYCWETwo yearMailed check,1574-DYCWE,f,0,Yes,,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,n,Mailed check,19.95,1028.75,No
7621-VPNETMonth-to-monthCredit card (automatic),7621-VPNET,Female,0,Yes,,No,42,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.9,3729.75,No
2923-ARZLGOne yearMailed check,2923-ARZLG,male,0,Yes,,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.7, ,No
7025-IWFHTOne yearElectronic check,7025-IWFHT,male,0,No,,No,41,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,89.55,3729.75,No
5115-GZDELTwo yearCredit card (automatic),5115-GZDEL,male,0,No,,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,n,Credit card (automatic),67.2,4671.7,No
8945-MUQUFOne yearElectronic check,8945-MUQUF,m,0,No,,No,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,94.8,4837.6,Yes
9526-JAWYFMonth-to-monthElectronic check,9526-JAWYF,Male,0,No,,No,26,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,89.8,2335.3,Yes
0771-CHWSKTwo yearCredit card (automatic),0771-CHWSK,Male,0,No,,No,66,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),74.6,4798.4,No
5375-XLDOFTwo yearBank transfer (automatic),5375-XLDOF,Male,0,Yes,,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.35,7665.8,No
4043-MKDTVTwo yearElectronic check,4043-MKDTV,Male,0,Yes,,No,71,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,105.25,7291.75,No
3410-MHHUMOne yearElectronic check,3410-MHHUM,Female,0,Yes,,Yes,44,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,94.4,4295.35,No
1221-GHZEPTwo yearMailed check,1221-GHZEP,Female,0,No,,No,62,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,65.1,3846.75,No
6933-FHBZCOne yearMailed check,6933-FHBZC,Female,0,No,,No,26,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,56.05,1553.2,No
4277-UDIEFMonth-to-monthBank transfer (automatic),4277-UDIEF,Male,0,Yes,,Yes,24,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),81,1923.85,No
8473-VUVJNMonth-to-monthElectronic check,8473-VUVJN,Male,1,No,,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.65,73.65,Yes
1333-PBMXBOne yearBank transfer (automatic),1333-PBMXB,Female,0,Yes,,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.75,1342.15,No
8838-GPHZPTwo yearMailed check,8838-GPHZP,Female,0,No,,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.6,1298.7,No
3429-IFLEMTwo yearCredit card (automatic),3429-IFLEM,f,0,No,,No,71,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,n,Credit card (automatic),77.35,5550.1,No
3512-IZIKNTwo yearCredit card (automatic),3512-IZIKN,f,0,Yes,,No,70,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),65.3,4759.75,Yes
3557-HTYWRTwo yearMailed check,3557-HTYWR,f,0,No,,No,47,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,n,Mailed check,74.05,3496.3,No
7638-QVMVYMonth-to-monthElectronic check,7638-QVMVY,Female,0,No,,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79,522.95,Yes
5057-LCOUIMonth-to-monthElectronic check,5057-LCOUI,Female,0,No,,No,39,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.75,2011.4,Yes
8066-POXGXMonth-to-monthElectronic check,8066-POXGX,Female,0,No,,No,13,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.1,446.1,Yes
3229-USWAROne yearBank transfer (automatic),3229-USWAR,Female,0,No,,No,34,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),79.95,2727.3,No
5055-BRMNETwo yearCredit card (automatic),5055-BRMNE,f,0,Yes,,Yes,67,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,n,Credit card (automatic),106.7,7009.5,No
9661-ACXBSMonth-to-monthElectronic check,9661-ACXBS,Female,0,No,,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.2,4400.75,Yes
5349-IECLDMonth-to-monthElectronic check,5349-IECLD,Male,0,No,,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,94.95,178.1,Yes
7445-WMRBWOne yearBank transfer (automatic),7445-WMRBW,Female,0,No,,No,48,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),73.85,3581.4,No
5884-FBCTLTwo yearBank transfer (automatic),5884-FBCTL,Female,0,Yes,,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,n,Bank transfer (automatic),25.1,1857.85,No
5385-SUIRIMonth-to-monthElectronic check,5385-SUIRI,Male,1,Yes,,No,52,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.2,5568.35,Yes
6288-CHQJBTwo yearBank transfer (automatic),6288-CHQJB,Female,0,Yes,,Yes,54,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,n,Bank transfer (automatic),69.95,3871.85,No
8597-CTXVJOne yearBank transfer (automatic),8597-CTXVJ,Male,0,No,,Yes,70,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),64.95,4551.5,No
3428-MMGUBTwo yearElectronic check,3428-MMGUB,Male,0,No,,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,89.55,5231.2,No
6485-QXWWETwo yearBank transfer (automatic),6485-QXWWE,Female,0,No,,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,n,Bank transfer (automatic),26,1638.7,No
7356-IWLFWMonth-to-monthBank transfer (automatic),7356-IWLFW,Male,0,Yes,,Yes,46,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80,3769.7,No
7148-XZPHAMonth-to-monthElectronic check,7148-XZPHA,Male,0,Yes,,Yes,55,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,79.4,4238.45,No
2869-ADAWRMonth-to-monthCredit card (automatic),2869-ADAWR,Female,0,No,,No,45,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.3,4016.85,Yes
7196-LIWRHTwo yearMailed check,7196-LIWRH,Female,0,No,,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,no,Mailed check,19.55,124.45,No
3685-YLCMQOne yearElectronic check,3685-YLCMQ,Male,0,No,,No,58,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,104.65,6219.6,Yes
4726-DLWQNMonth-to-monthBank transfer (automatic),4726-DLWQN,Male,1,No,,No,50,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),70.35,3454.6,No
7945-PRBVFTwo yearBank transfer (automatic),7945-PRBVF,Male,0,No,,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,no,Bank transfer (automatic),21.45,705.45,No
7401-JIXNMTwo yearCredit card (automatic),7401-JIXNM,Female,0,Yes,,Yes,54,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,n,Credit card (automatic),91.3,4965,No
5949-HGVJLMonth-to-monthElectronic check,5949-HGVJL,Female,0,Yes,,No,26,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,73.05,1959.5,No
7711-GQBZCTwo yearBank transfer (automatic),7711-GQBZC,Female,0,Yes,,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.7,1810.55,No
3315-TOTBPMonth-to-monthMailed check,3315-TOTBP,Male,0,No,,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,76,1130.85,Yes
6728-VOIFYOne yearElectronic check,6728-VOIFY,Female,0,Yes,,No,63,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,96,6109.75,No
6258-PVZWJTwo yearCredit card (automatic),6258-PVZWJ,Male,0,Yes,,No,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.8,6302.85,No
7632-MNYOYOne yearCredit card (automatic),7632-MNYOY,Male,1,No,,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,no,Credit card (automatic),110.9,7432.05,Yes
4662-EKDPQMonth-to-monthBank transfer (automatic),4662-EKDPQ,Male,0,No,,No,2,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,no,Bank transfer (automatic),62.05,118.3,Yes
8181-YHCMFTwo yearCredit card (automatic),8181-YHCMF,F,0,Yes,,Yes,68,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,n,Credit card (automatic),60.3,4109,No
4779-ZGICKTwo yearMailed check,4779-ZGICK,Male,0,Yes,,Yes,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,no,Mailed check,23.55,1173.35,No
8361-LBRDITwo yearCredit card (automatic),8361-LBRDI,F,0,No,,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,n,Credit card (automatic),24.35,1423.85,No
2832-KJCRDMonth-to-monthElectronic check,2832-KJCRD,Female,0,No,,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.65,3988.5,No
0516-OOHAROne yearBank transfer (automatic),0516-OOHAR,Male,0,Yes,,Yes,28,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),100.35,2799,No
6563-VNPMNMonth-to-monthBank transfer (automatic),6563-VNPMN,Female,1,No,,No,45,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),85.7,3778.1,No
8738-JOKAROne yearMailed check,8738-JOKAR,Female,0,No,,No,42,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,67.7,2882.25,No
9359-JANWSTwo yearCredit card (automatic),9359-JANWS,Female,0,Yes,,No,65,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,n,Credit card (automatic),58.9,3857.1,No
9372-TXXPSTwo yearBank transfer (automatic),9372-TXXPS,Female,0,Yes,,No,60,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,n,Bank transfer (automatic),59.85,3483.45,No
7470-DYNOEOne yearElectronic check,7470-DYNOE,Male,0,No,,No,53,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,61.1,3357.9,No
9489-JMTTNTwo yearCredit card (automatic),9489-JMTTN,Female,0,Yes,,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,n,Credit card (automatic),89.75,6595.9,No
8468-FZTOETwo yearElectronic check,8468-FZTOE,Female,0,Yes,,Yes,72,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,74.35,5237.4,No
5482-NUPNAMonth-to-monthMailed check,5482-NUPNA,Female,0,No,,No,4,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,60.4,272.15,Yes
1066-JKSGKMonth-to-monthMailed check,1066-JKSGK,M,0,No,,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,n,Mailed check,20.15,20.15,Yes
6467-CHFZWMonth-to-monthElectronic check,6467-CHFZW,M,0,Yes,,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes
4237-RLAQDMonth-to-monthMailed check,4237-RLAQD,M,0,No,,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.85,45.85,Yes
0187-WZNABMonth-to-monthMailed check,0187-WZNAB,female,0,Yes,,Yes,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,n,Mailed check,74.4,1972.35,No
3212-KXOCRTwo yearBank transfer (automatic),3212-KXOCR,M,0,No,,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,n,Bank transfer (automatic),21,1107.2,No
0486-HECZIMonth-to-monthElectronic check,0486-HECZI,M,0,Yes,,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes
0347-UBKUZMonth-to-monthMailed check,0347-UBKUZ,female,0,No,,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,n,Mailed check,19.9,320.45,No
6440-DKQGEOne yearCredit card (automatic),6440-DKQGE,M,0,No,,Yes,30,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,n,Credit card (automatic),64.5,1929.95,No
3780-YVMFAMonth-to-monthElectronic check,3780-YVMFA,Female,0,Yes,,Yes,8,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,No
1875-QIVMEMonth-to-monthElectronic check,1875-QIVME,Female,0,Yes,,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes
0461-CVKMUMonth-to-monthElectronic check,0461-CVKMU,female,0,Yes,,Yes,23,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,n,Electronic check,83.8,1900.25,Yes
9947-OTFQUMonth-to-monthElectronic check,9947-OTFQU,M,1,No,,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes
0804-XBFBVMonth-to-monthElectronic check,0804-XBFBV,female,0,No,,Yes,11,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,25.2,321.05,No
2294-SALNEOne yearMailed check,2294-SALNE,M,0,Yes,,Yes,23,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,n,Mailed check,86.8,1940.8,No
5229-DTFYBTwo yearBank transfer (automatic),5229-DTFYB,Female,0,No,,No,41,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),98.8,3959.15,No
3520-FJGCVTwo yearCredit card (automatic),3520-FJGCV,M,0,Yes,,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),112.6,8126.65,No
6122-EFVKNTwo yearMailed check,6122-EFVKN,M,0,No,,Yes,24,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,n,Mailed check,35.75,830.8,No
4742-DRORAOne yearBank transfer (automatic),4742-DRORA,M,0,Yes,,Yes,60,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),95.4,5812,No
1125-SNVCKMonth-to-monthMailed check,1125-SNVCK,female,1,No,,No,49,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,n,Mailed check,43.8,2106.05,No
0206-TBWLCOne yearMailed check,0206-TBWLC,Female,0,Yes,,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,114.65,6049.5,No
4431-EDMIQMonth-to-monthElectronic check,4431-EDMIQ,Female,0,Yes,,Yes,7,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,75.7,554.05,No
7619-PLRLPOne yearBank transfer (automatic),7619-PLRLP,f,0,Yes,,No,53,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),74.1,3833.95,No
5174-ITUMVOne yearElectronic check,5174-ITUMV,M,0,Yes,,Yes,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,105.4,6989.45,No
4676-MQUEAOne yearBank transfer (automatic),4676-MQUEA,M,1,Yes,,No,50,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),101.9,5265.5,No
6967-QIQRVOne yearElectronic check,6967-QIQRV,M,0,Yes,,Yes,15,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,n,Electronic check,101.9,1667.25,No
2640-LYMOVMonth-to-monthMailed check,2640-LYMOV,M,0,No,,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.65,38.8,No
2865-TCHJWMonth-to-monthElectronic check,2865-TCHJW,Female,1,No,,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,346.2,Yes
0195-IESCPMonth-to-monthElectronic check,0195-IESCP,M,0,Yes,,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.25,855.3,Yes
9576-ANLXOMonth-to-monthBank transfer (automatic),9576-ANLXO,Female,0,No,,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.55,222.3,Yes
7838-LAZFOOne yearBank transfer (automatic),7838-LAZFO,M,0,Yes,,No,45,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,n,Bank transfer (automatic),78.8,3597.5,No
6663-JOCQOOne yearBank transfer (automatic),6663-JOCQO,M,0,Yes,,Yes,31,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.25,2344.5,No
6439-GTPCAMonth-to-monthElectronic check,6439-GTPCA,Female,0,No,,No,45,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,87.25,3941.7,Yes
5671-RQRLPTwo yearCredit card (automatic),5671-RQRLP,Female,1,Yes,,No,70,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),75.65,5411.4,No
4661-NJEUXMonth-to-monthMailed check,4661-NJEUX,M,0,No,,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.05,20.05,No
2223-KAGMXMonth-to-monthBank transfer (automatic),2223-KAGMX,female,0,No,,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,n,Bank transfer (automatic),19.4,289.3,Yes
0379-DJQHRTwo yearCredit card (automatic),0379-DJQHR,M,0,Yes,,Yes,67,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,n,Credit card (automatic),81.35,5398.6,No
3865-YIOTTOne yearBank transfer (automatic),3865-YIOTT,M,0,Yes,,Yes,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),106.1,7848.5,No
4378-BZYFPOne yearMailed check,4378-BZYFP,M,0,No,,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.5,365.8,No
2592-YKDIFMonth-to-monthMailed check,2592-YKDIF,female,0,No,,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,n,Mailed check,20.35,20.35,No
2654-VBVPBMonth-to-monthBank transfer (automatic),2654-VBVPB,female,0,No,,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,n,Bank transfer (automatic),19.9,19.9,No
4433-JCGCGMonth-to-monthElectronic check,4433-JCGCG,male,1,Yes,,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101,4680.05,Yes
8461-EFQYMOne yearElectronic check,8461-EFQYM,Female,0,No,,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,24.25,914.4,No
0411-EZJZEMonth-to-monthElectronic check,0411-EZJZE,Female,0,No,,No,3,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,60.25,170.5,No
8807-ARQETMonth-to-monthElectronic check,8807-ARQET,Female,0,No,,No,41,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,40.35,1677.85,No
5268-DSMNQOne yearCredit card (automatic),5268-DSMNQ,Female,1,Yes,,No,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),97.95,5936.55,No
1346-UFHAXMonth-to-monthCredit card (automatic),1346-UFHAX,Female,0,No,,No,13,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80,1029.35,No
0784-GTUUKOne yearCredit card (automatic),0784-GTUUK,M,0,Yes,,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),23.75,1446.8,No
9681-KYGYBMonth-to-monthElectronic check,9681-KYGYB,M,1,Yes,,No,49,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,88.2,4159.45,No
7182-OVLBJTwo yearBank transfer (automatic),7182-OVLBJ,Female,0,Yes,,Yes,62,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.15,6638.35,No
7266-GSSJXMonth-to-monthElectronic check,7266-GSSJX,M,0,Yes,,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.45,250.8,No
3793-MMFUHMonth-to-monthElectronic check,3793-MMFUH,Female,1,No,,No,13,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.05,1290,Yes
3870-SPZSITwo yearCredit card (automatic),3870-SPZSI,Female,0,Yes,,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),113.05,7869.05,No
1666-JZPZTMonth-to-monthMailed check,1666-JZPZT,M,0,No,,No,27,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,n,Mailed check,49,1291.35,No
9480-BQJEIOne yearBank transfer (automatic),9480-BQJEI,M,0,No,,No,62,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),92.3,5731.45,No
